idx,projection,refused
0,3.3859846591949463,1
1,3.6562886238098145,1
2,2.5513062477111816,1
3,3.65972900390625,1
4,3.9301629066467285,1
5,3.8828916549682617,1
6,3.34163761138916,1
7,3.918674945831299,1
8,3.0752856731414795,1
9,2.986323833465576,1
10,3.7697010040283203,1
11,2.399322748184204,0
12,4.163699626922607,1
13,3.461291790008545,1
14,3.9848599433898926,1
15,3.104372024536133,1
16,3.6199746131896973,1
17,3.5496203899383545,1
18,3.8533730506896973,1
19,3.0806188583374023,1
20,2.5105462074279785,1
21,3.2195258140563965,1
22,3.8933937549591064,1
23,2.957184314727783,1
24,3.3061463832855225,1
25,2.6800618171691895,1
26,1.567522406578064,0
27,3.0901408195495605,1
28,3.3168294429779053,1
29,3.45377516746521,1
30,3.9156100749969482,1
31,2.5497093200683594,1
32,4.099414825439453,1
33,3.5657730102539062,1
34,3.7614097595214844,1
35,3.603024959564209,1
36,4.062244892120361,1
37,3.586385726928711,1
38,3.5175766944885254,1
39,1.9709670543670654,0
40,2.650418758392334,0
41,3.662191390991211,1
42,3.408137321472168,1
43,2.329972267150879,1
44,3.3582911491394043,1
45,2.863539695739746,1
46,3.577526092529297,1
47,3.349658727645874,1
48,3.280202865600586,1
49,2.877765417098999,1
50,2.9685378074645996,1
51,3.7365851402282715,1
52,2.859872341156006,1
53,3.072232484817505,1
54,3.4890835285186768,1
55,3.8116469383239746,1
56,3.9264774322509766,1
57,3.0121097564697266,1
58,2.9778358936309814,1
59,3.2361021041870117,1
60,3.280697822570801,1
61,3.8379197120666504,1
62,3.15242338180542,0
63,4.059075355529785,1
64,3.5747122764587402,1
65,3.2466249465942383,1
66,3.955721378326416,1
67,3.0971763134002686,1
68,3.5252485275268555,1
69,3.432844638824463,1
70,3.853022336959839,1
71,3.621245861053467,1
72,2.6023173332214355,1
73,3.680438995361328,1
74,3.7738876342773438,1
75,3.182755470275879,1
76,3.6217758655548096,1
77,3.2132959365844727,1
78,3.7053842544555664,1
79,3.352508068084717,1
80,3.5538463592529297,1
81,3.7939655780792236,1
82,3.5922698974609375,1
83,3.601438522338867,1
84,4.011300086975098,1
85,3.349271535873413,1
86,3.5219364166259766,1
87,3.5834238529205322,1
88,3.3574471473693848,1
89,3.3555846214294434,1
90,3.0430307388305664,1
91,2.7440946102142334,1
92,3.1489171981811523,1
93,3.3423900604248047,1
94,3.041152000427246,1
95,3.6862688064575195,1
96,2.8301596641540527,1
97,2.10371994972229,1
98,3.4616217613220215,1
99,4.142760276794434,1
